"BHID";"FROM";"TO";"LENGTH";"CODE";"Minéralogie";"Minéralisation";"DESCRIPTION";"Poids(Kg) p";"Poids(Kg) g";"Poids Récupéré (Kg)";"Poids Théorique (Kg)";"Taux de Récupération (%)";"PROJECT"
GT-RC-15;16.0;17.0;1.0;GRE;;;Grèsopélites altérés;5.1;26.5;31.6;38.465;82.15;
GT-RC-15;28.0;29.0;1.0;PEL;;;pélites noires;5.1;26.5;31.6;38.465;82.15;
GT-RC-15;35.0;36.0;1.0;PEL;;;pélites noires+pyrite;5.1;26.5;31.6;38.465;82.15;
GT-RC-19;14.0;15.0;1.0;GRE;;;Gres quartzique;5.1;26.5;31.6;38.465;82.15;
GT-RC-03;49.0;50.0;1.0;GP;;;Grésopélites + éléments Py, ? Ank;5.1;26.4;31.5;38.465;81.89;
GT-RC-19;89.0;90.0;1.0;GRE;;;Grès noir à éléments d'ankerite;5.1;26.3;31.4;38.465;81.63;
GT-RC-36;74.0;75.0;1.0;GRE;;;Grès quartzique;5.1;26.3;31.4;38.465;81.63;
GT-RC-21;63.0;64.0;1.0;GRE;;;Grès;5.1;25.9;31.0;38.465;80.59;
GT-RC-15;26.0;27.0;1.0;GRE;;;Grès;5.1;25.3;30.4;38.465;79.03;
GT-RC-10;28.0;29.0;1.0;GRE;;;Grèsopélites à épsilon pyrite;5.1;24.7;29.8;38.465;77.47;
GT-RC-21;16.0;17.0;1.0;PEL;;;Pélites altérées;5.1;24.0;29.1;38.465;75.65;
GT-RC-21;37.0;38.0;1.0;GRE;;;Grès;5.1;22.1;27.2;38.465;70.71;
GT-RC-30;49.0;50.0;1.0;GRE;;;Grès pélitiques;5.1;20.0;25.1;38.465;65.25;
GT-RC-05;9.0;10.0;1.0;PEL;;;Pélites altérées argileuses orangeâtres;5.1;18.8;23.9;38.465;62.13;
GT-RC-21;27.0;28.0;1.0;PEL;;;Pelites noires + epsilon Py;5.0;32.4;37.4;38.465;97.23;
GT-RC-28;34.0;35.0;1.0;GRE;;;Grès + epsilon Py;5.0;32.2;37.2;38.465;96.71;
GT-RC-09;39.0;40.0;1.0;GRE;;;Grésopélites avec des traces d'ankérites ankérites;5.0;31.9;36.9;38.465;95.93;
GT-RC-36;45.0;46.0;1.0;GRE;;;Grès quartzique avec des traces de pyrite;5.0;31.6;36.6;38.465;95.15;
GT-RC-03;46.0;47.0;1.0;GP;;;Grésopélites + éléments Py, ? Ank;5.0;30.9;35.9;38.465;93.33;
GT-RC-19;17.0;18.0;1.0;GRE;;;Grès altéré;5.0;30.3;35.3;38.465;91.77;
GT-RC-28;112.0;113.0;1.0;PEL;;;Pélites noires à Ank + éléments de Qz + epsilon Cpy;5.0;30.3;35.3;38.465;91.77;
